"Numero_expedient","Es_classificacio_ML","Es_mon_treball","Descripcio_Motiu_desplacament_conductor","Descripcio_sexe","Edat","Edat_CODIF","Descripció_tipus_persona","Desc_Tipus_vehicle_implicat","Tipus_vehicle_estandaritzat","Descripcio_victimitzacio","Victimitzacio_est","Victimitzacio_est_","NK_Any","Mes_any","Nom_mes","Estacio_any","Dia_mes","Descripcio_dia_setmana","Hora_dia","Descripcio_torn","Es_laborable","Es_ocupacional","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal.","Numero_victimes","Victimes_CODIF","Numero_morts","Morts_CODIF","Numero_lesionats_greus","Greus_CODIF","Numero_lesionats_lleus","Lleus_CODIF","Numero_vehicles_implicats","Vehicles_CODIF","Vehicles d'Ús Professional implicats","VUP_CODIF","Vehicles motoritzats de 2 rodes implicats","VM2R_CODIF","Vehicles motoritzats de quatre rodes implicats","VM4R_CODIF","Vehicles sense permís de conducció implicats","V_no_permis_CODIF","Descripcio_causa_mediata","Antiguitat_carnet_min","Interve_conductor_novell","Descripcio_Lloc_atropellament_vianant","Es_atropellament","Longitud_WGS84","Latitud_WGS84"
"2023S000006    ","Si","No","Es desconeix","Home",49,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",1,"Diumenge",17,"Tarda","No","No",6,"Gracia",31,"la Vila de Gràcia",206403,"Gran de Gràcia / Gràcia                           ","0072 0072",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",1,"Si",0,"No","Avancament defectuos/improcedent",7,"No","Desconegut                                                                                                                                            ","No",2.155458526,41.399840547
"2023S000007    ","Si","No","Es desconeix","Home",27,"Conductors fins 29 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",1,"Diumenge",18,"Tarda","No","No",3,"Sants-Montjuic",12,"la Marina del Prat Vermell",180,"Ramon Albó                                        ","0093 0093",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","Manca precaucio incorporacio circulacio",7,"No","Desconegut                                                                                                                                            ","No",2.177055607,41.426890843
"2023S000008    ","No","Si","En missió","Home",35,"Conductors entre 30 i 37 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",1,"Diumenge",14,"Tarda","No","No",6,"Gracia",31,"la Vila de Gràcia",267000,"Riera de Cassoles                                 ","0056 0058",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","Manca atencio a la conduccio",4,"Si","A la vorera / Andana                                                                                                                                  ","Si",2.150179264,41.405221335
"2023S000010    ","No","No","Altres activitats","Home",42,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",2,"Dilluns",8,"Matí","Si","Si",5,"Sarria-Sant Gervasi",26,"Sant Gervasi - Galvany",194803,"Marc Aureli                                       ","0031 0033",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","Manca precaucio incorporacio circulacio",13,"No","Desconegut                                                                                                                                            ","No",2.14229781,41.401947852
"2023S000011    ","No","No","Altres activitats","Home",31,"Conductors entre 30 i 37 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",9,"Matí","Si","Si",7,"Horta-Guinardo",39,"Sant Genís dels Agudells",295108,"Sant Cugat / Samaria                              ","0002U0002U",3,"Si",0,"No",0,"No",3,"Si",3,"Si",0,"No",1,"Si",2,"Si",0,"No","Gir indegut o sense precaucio",2,"Si","Desconegut                                                                                                                                            ","No",2.138388048,41.422069468
"2023S000011    ","No","No","Altres activitats","Dona",64,"Conductors majors de 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",2,"Dilluns",9,"Matí","Si","Si",7,"Horta-Guinardo",39,"Sant Genís dels Agudells",295108,"Sant Cugat / Samaria                              ","0002U0002U",3,"Si",0,"No",0,"No",3,"Si",3,"Si",0,"No",1,"Si",2,"Si",0,"No","Gir indegut o sense precaucio",2,"Si","Desconegut                                                                                                                                            ","No",2.138388048,41.422069468
"2023S000014    ","No","Si","In itínere","Dona",42,"Conductors d'entre 38 i 49 anys edat","Conductor","Ciclomotor","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",11,"Matí","Si","Si",5,"Sarria-Sant Gervasi",26,"Sant Gervasi - Galvany",223606,"Muntaner / Hercegovina                            ","0467 0469",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",1,"Si",0,"No","Gir indegut o sense precaucio",10,"No","Desconegut                                                                                                                                            ","No",2.138904683,41.402093039
"2023S000015    ","No","Si","Bombers, policia, ambulància","Home",54,"Conductors majors de 49 anys edat","Conductor","Ambulància","Vehicles Us Professional","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",2,"Dilluns",10,"Matí","Si","Si",10,"Sant Marti",68,"el Poblenou",115603,"Espronceda / Pallars                              ","0121 0121",3,"Si",0,"No",0,"No",3,"Si",2,"Si",0,"No",0,"No",0,"No",2,"Si","Desobeir semafor",16,"No","Desconegut                                                                                                                                            ","No",2.203973965,41.405812692
"2023S000015    ","Si","Si","Es desconeix","Home",51,"Conductors majors de 49 anys edat","Conductor","Furgoneta","Vehicles motoritzats de quatre rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",10,"Matí","Si","Si",10,"Sant Marti",68,"el Poblenou",115603,"Espronceda / Pallars                              ","0121 0121",3,"Si",0,"No",0,"No",3,"Si",2,"Si",0,"No",0,"No",0,"No",2,"Si","Desobeir semafor",16,"No","Desconegut                                                                                                                                            ","No",2.203973965,41.405812692
"2023S000016    ","No","No","Oci i entreteniment","Dona",22,"Conductors fins 29 anys edat","Conductor","Turisme","Vehicles motoritzats de quatre rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",8,"Matí","Si","Si",10,"Sant Marti",64,"el Camp de l'Arpa del Clot",134801,"Freser / Eterna Memòria                           ","0138 0138",3,"Si",0,"No",0,"No",3,"Si",2,"Si",0,"No",0,"No",0,"No",2,"Si","No cedir la dreta",2,"Si","Desconegut                                                                                                                                            ","No",2.181236776,41.413343862
"2023S000021    ","No","No","Oci i entreteniment","Dona",40,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",14,"Tarda","Si","Si",4,"Les Corts",21,"Pedralbes",701267,"Dalt (Besòs)                                      ","000600000",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",1,"Si",0,"No","No respectar distancies",4,"Si","Desconegut                                                                                                                                            ","No",2.109504322,41.393429037
"2023S000024    ","No","No","Oci i entreteniment","Dona",26,"Conductors fins 29 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",4,"Dimecres",16,"Tarda","Si","Si",5,"Sarria-Sant Gervasi",26,"Sant Gervasi - Galvany",144601,"Balmes / Diagonal                                 ","0490 0500",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","Manca atencio a la conduccio",8,"No","Desconegut                                                                                                                                            ","No",2.154710596,41.395314373
"2023S000025    ","No","No","Altres activitats","Dona",41,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",18,"Tarda","Si","No",5,"Sarria-Sant Gervasi",27,"el Putxet i el Farró",143904,"General Mitre / Berna                             ","0220 0220",1,"No",0,"No",0,"No",1,"Si",3,"Si",0,"No",2,"Si",0,"No",1,"Si","Manca precaucio efectuar marxa enrera",8,"No","Desconegut                                                                                                                                            ","No",2.146772087,41.40575235
"2023S000026    ","No","No","Altres activitats","Home",57,"Conductors majors de 49 anys edat","Conductor","Furgoneta","Vehicles motoritzats de quatre rodes","Ferit lleu: Rebutja assistència sanitària","Ferit lleu","Rebutja assistencia sanitaria",2023,1,"Gener","Hivern",2,"Dilluns",19,"Tarda","Si","No",9,"Sant Andreu",57,"la Trinitat Vella",209900,"Meridiana                                         ","0682 0682",8,"Si",0,"No",0,"No",8,"Si",5,"Si",0,"No",3,"Si",1,"Si",1,"Si","Manca atencio a la conduccio",9,"No","Desconegut                                                                                                                                            ","No",2.188653583,41.449111399
"2023S000026    ","No","No","Altres activitats","Home",48,"Conductors d'entre 38 i 49 anys edat","Conductor","Furgoneta","Vehicles motoritzats de quatre rodes","Ferit lleu: Rebutja assistència sanitària","Ferit lleu","Rebutja assistencia sanitaria",2023,1,"Gener","Hivern",2,"Dilluns",19,"Tarda","Si","No",9,"Sant Andreu",57,"la Trinitat Vella",209900,"Meridiana                                         ","0682 0682",8,"Si",0,"No",0,"No",8,"Si",5,"Si",0,"No",3,"Si",1,"Si",1,"Si","Manca atencio a la conduccio",9,"No","Desconegut                                                                                                                                            ","No",2.188653583,41.449111399
"2023S000026    ","No","No","Altres activitats","Home",35,"Conductors entre 30 i 37 anys edat","Conductor","Furgoneta","Vehicles motoritzats de quatre rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",19,"Tarda","Si","No",9,"Sant Andreu",57,"la Trinitat Vella",209900,"Meridiana                                         ","0682 0682",8,"Si",0,"No",0,"No",8,"Si",5,"Si",0,"No",3,"Si",1,"Si",1,"Si","Manca atencio a la conduccio",9,"No","Desconegut                                                                                                                                            ","No",2.188653583,41.449111399
